domain,amount,history,hospital_network,damage_cost,policy_duration,income,loan_amount,fraud
Life,24439,2,0,51140,8.09,28449,57558,0
Health,199025,0,0,94291,4.82,52430,99498,1
Vehicle,441665,2,0,82714,0.09,33023,280530,1
Health,213798,1,0,7042,1.48,39044,225787,1
Life,24916,2,0,67681,8.71,75715,499044,0
Vehicle,65709,2,0,45716,1.11,38166,238159,0
Vehicle,181491,3,0,82353,4.5,85741,215466,1
Health,380957,4,0,96249,2.32,91931,254512,1
Health,331867,0,1,54157,4.45,95861,154982,0
Financial,323640,4,0,54803,8.52,62293,388758,1
Life,304364,3,1,39283,9.25,75165,450752,0
Financial,213860,5,0,85970,1.97,25144,167043,1
Financial,359217,5,1,80675,7.28,31963,245692,1
Financial,197375,4,0,77798,0.3,26133,250545,1
Health,94275,2,0,11161,1.71,79175,185706,0
Health,342307,4,1,6338,4.56,33196,428495,0
Vehicle,105961,2,1,89566,8.33,98598,396152,1
Financial,37021,3,0,38870,3.5,63671,128116,0
Financial,120372,4,0,60234,2.64,74827,436823,1
Life,5953,4,1,15170,1.36,88378,75787,0
Vehicle,496466,3,1,44504,3.7,75686,168322,0
Vehicle,183074,5,1,19242,8.44,91520,451576,1
Vehicle,245012,2,1,99335,5.87,33355,443464,1
Health,330561,2,0,20422,1.69,46339,170663,1
Vehicle,211968,3,1,83796,9.17,47152,330034,1
Financial,456695,3,0,35782,5.04,59033,435218,1
Health,113286,3,1,16609,4.3,98289,400084,0
Vehicle,182159,4,0,39103,7.49,98274,148344,1
Life,311804,2,1,87184,4.69,45545,163057,0
Life,295825,5,1,94986,3.37,23721,482278,0
Financial,450218,2,1,85237,4.51,90299,195649,0
Health,90365,1,0,39490,8.36,84691,295325,0
Financial,182761,3,1,52585,6.0,63025,388761,1
Health,258222,5,1,14227,6.22,94009,474702,0
Health,389942,1,1,61231,5.63,92282,494757,0
Health,97194,0,1,52957,3.61,37370,198416,0
Life,359118,3,0,56018,9.39,32343,319332,0
Health,47088,3,1,99283,8.69,91964,88866,0
Financial,311851,1,0,80387,4.46,60883,287637,0
Life,198525,1,0,20081,9.66,77746,373911,0
Vehicle,478408,3,0,72739,5.41,30153,222954,1
Life,273678,3,1,79093,5.8,52177,211155,0
Health,417094,0,0,46215,6.25,49006,253784,1
Health,493934,4,0,25221,2.88,87680,394695,1
Life,72519,1,0,92717,2.21,87327,297020,0
Vehicle,113900,4,1,66079,7.64,80150,229634,1
Vehicle,61362,1,0,94878,2.75,72307,176639,1
Health,484365,0,1,91993,1.61,95361,465471,0
Life,202439,5,0,56253,0.19,69724,391352,1
Vehicle,467338,2,0,79196,8.72,99307,103769,1
Health,29947,1,0,66209,5.17,92086,217267,0
Financial,304774,0,0,59815,2.7,89905,257876,0
Health,299988,1,0,27257,2.79,89732,219580,1
Health,7283,5,1,65968,1.99,59512,477787,0
Financial,196441,1,0,29508,4.49,62426,288091,0
Financial,127253,0,1,87693,1.8,44387,306831,1
Vehicle,74272,0,1,13394,6.74,52603,135345,0
Life,365893,4,0,85564,5.81,46896,167694,0
Life,178860,1,1,78734,6.71,47163,386153,0
Vehicle,206442,3,0,62244,1.23,74391,178900,1
Financial,111837,1,1,9407,2.07,61947,453147,1
Vehicle,481358,2,0,90550,8.24,39388,55895,1
Life,430034,2,1,50642,4.83,99329,74433,0
Financial,195749,1,1,28546,0.67,71136,254539,0
Life,437915,5,1,35308,4.25,41288,388142,0
Life,142631,4,1,98594,7.53,39074,99167,0
Financial,470619,1,1,78670,4.83,38770,431239,1
Health,296477,0,0,54821,9.49,65396,95611,1
Life,458645,1,0,27034,0.12,78363,114039,1
Vehicle,9381,2,0,47195,3.98,91747,289788,0
Vehicle,161245,5,0,49990,1.03,45935,68412,1
Health,163572,4,0,53386,7.98,96168,214801,1
Life,241697,2,0,50496,3.23,62964,326330,0
Life,243024,2,0,26871,9.34,60923,155752,0
Life,349495,1,0,16751,3.55,36448,155630,0
Vehicle,268868,5,0,48051,6.92,23659,84445,1
Vehicle,351441,2,0,72314,7.75,96826,463237,1
Life,118026,1,0,29145,7.94,98007,57040,0
Life,63728,2,0,64726,1.89,73694,301539,0
Financial,131954,5,0,93075,4.67,42908,485079,1
Vehicle,68462,3,0,91590,7.95,90892,440683,1
Vehicle,271783,1,0,22042,3.36,29475,289910,0
Life,115254,2,0,8806,9.9,61147,424434,0
Financial,368263,0,0,95937,5.49,24495,59473,0
Financial,380074,1,1,40568,9.21,74678,387915,1
Financial,422868,1,0,48905,8.43,33431,462174,1
Health,431549,2,1,4309,7.64,38243,190446,0
Financial,230364,5,1,72352,4.57,87587,270894,0
Vehicle,262961,2,1,89743,6.47,71681,252374,1
Financial,26816,2,1,39593,0.77,99034,422486,0
Life,481000,3,1,60655,6.87,52670,424253,0
Vehicle,372460,5,0,45211,9.05,80996,314302,1
Vehicle,160990,5,1,20074,9.94,32663,426219,1
Health,20789,3,1,28572,7.18,94287,359475,0
Financial,482610,3,0,19869,7.02,23841,220653,1
Vehicle,153837,0,1,57167,3.4,40621,226894,1
Vehicle,45064,3,1,24407,4.66,43943,74406,0
Health,380830,0,0,18007,3.85,20048,340205,1
Health,77907,2,0,76400,9.89,25094,300251,0
Vehicle,493240,3,0,55940,5.95,50205,154558,1
Health,83050,3,1,83473,8.48,58650,308247,0
Financial,299305,2,0,39206,0.96,39049,256678,1
Life,309407,2,1,93897,4.96,73878,220122,0
Health,144668,0,1,43091,7.76,88146,339753,0
Health,322246,0,1,51353,5.79,28614,313016,0
Life,370004,5,0,51889,5.39,32409,269737,0
Financial,403885,5,1,97957,3.83,30336,279026,1
Life,431574,3,0,52856,3.92,40361,87688,0
Vehicle,202675,4,0,38747,6.56,99092,275247,1
Financial,351579,2,1,15307,9.53,71172,346026,0
Vehicle,81992,5,1,20244,7.08,31435,350653,1
Life,50123,4,0,8611,6.13,91762,173093,0
Life,185059,3,0,41937,2.01,33723,407600,0
Financial,445514,5,0,45629,2.45,47638,441438,1
Financial,185769,0,1,73737,7.8,63586,441749,1
Life,440065,3,1,94334,7.52,62579,452433,0
Vehicle,350181,0,1,16213,0.91,77248,445417,0
Vehicle,291565,0,1,8455,1.33,81912,303554,0
Financial,451029,4,0,7185,8.94,58871,449586,1
Vehicle,391477,1,0,86418,9.79,51497,232893,1
Health,383072,5,0,19142,9.1,44666,105498,1
Financial,397120,0,0,21155,6.62,38064,389089,1
Financial,410417,2,1,49654,5.2,63525,356975,1
Health,393566,5,0,98193,8.47,94726,318406,1
Life,31252,0,0,19432,1.01,64718,381655,0
Vehicle,240449,1,1,98537,8.43,80556,74070,1
Vehicle,171307,4,1,6293,8.16,96332,238910,1
Health,446996,0,0,61941,3.54,52293,424431,1
Life,419304,1,0,84223,4.57,87514,371350,0
Life,411859,1,1,76409,3.31,50574,422441,0
Financial,388857,5,0,58968,5.15,56632,410495,1
Vehicle,322216,2,1,83711,0.94,28746,187645,1
Vehicle,352628,1,1,10924,4.96,73297,417585,0
Life,377682,4,1,54796,0.41,34694,113195,1
Life,383367,2,0,96247,0.34,79419,428635,1
Life,282386,1,0,93474,9.23,98772,429562,0
Health,476281,3,1,81640,9.13,45927,484557,0
Life,158852,4,1,15566,6.61,89996,292785,0
Vehicle,16652,5,0,20184,6.42,25480,335702,1
Vehicle,78083,2,0,24189,1.44,39643,298177,0
Financial,379128,1,1,49830,1.85,88577,370577,0
Health,460386,5,0,13224,4.91,32495,499547,1
Financial,281402,0,0,6853,2.51,70289,499410,1
Health,180550,0,0,52523,4.0,85118,362900,1
Life,493343,5,1,38168,3.7,86812,216739,0
Financial,254926,4,0,88031,3.27,64887,97801,0
Health,434304,1,0,11009,9.37,49151,273899,1
Health,171190,5,0,19022,5.76,94686,68116,1
Health,49171,2,0,64863,3.93,30109,108779,0
Life,178168,4,1,39756,8.48,40835,112275,0
Financial,274828,0,0,1844,7.4,93026,298053,0
Life,141321,5,1,45057,1.12,54064,438653,0
Life,406458,0,0,56902,3.42,20903,405188,0
Life,270902,5,1,73265,3.76,75267,363811,0
Financial,360763,0,0,43204,7.97,70324,339861,0
Financial,355576,2,1,57866,0.76,73414,384726,1
Vehicle,261109,5,0,79797,2.25,87840,262555,1
Financial,31533,1,0,14804,9.1,59300,67961,0
Health,183582,5,0,6858,2.71,81043,321614,1
Financial,456322,3,0,30832,8.38,66693,146793,0
Vehicle,418396,1,1,13753,6.08,30933,206285,0
Financial,416264,5,0,82236,6.17,43582,285406,1
Health,241149,5,1,43021,6.39,21193,426421,0
Health,430396,4,0,88463,5.63,27126,139215,1
Vehicle,239514,0,0,71194,6.53,72728,196395,1
Life,233259,1,0,80607,9.81,81376,202543,0
Life,195429,0,0,20568,3.8,88866,159413,0
Vehicle,423359,3,0,92425,3.04,46646,488332,1
Financial,461642,5,1,85871,7.87,77706,352775,0
Vehicle,478159,4,1,84772,8.18,82113,431790,1
Financial,295890,5,1,29777,2.46,64904,429294,1
Life,353528,3,1,66929,4.14,43540,491306,0
Life,423031,0,1,3980,6.68,79142,242919,0
Life,112207,1,1,25170,1.5,46120,149918,0
Life,16641,4,0,11687,2.83,96290,376159,0
Vehicle,294845,2,0,10105,8.02,94024,397240,0
Vehicle,266883,1,0,5825,2.94,98168,142741,0
Health,323389,2,0,79799,0.3,93224,97008,1
Life,265866,4,0,81079,2.79,85552,227211,0
Health,51506,1,1,62375,7.2,72926,308853,0
Vehicle,264246,4,0,94229,5.67,83668,132592,1
Vehicle,215243,4,0,50048,8.96,38955,451284,1
Health,272671,2,0,36759,9.11,85464,171741,1
Health,336185,1,0,84334,6.69,56702,223344,1
Financial,8442,3,1,22292,1.73,85229,258319,0
Vehicle,125123,4,0,15251,3.54,40853,277652,1
Vehicle,375614,0,1,88641,4.37,66339,427603,1
Financial,23574,3,1,22009,3.5,23471,224818,1
Financial,306999,5,1,83169,3.52,54304,80315,0
Health,69141,5,1,27477,3.43,76168,334908,0
Health,341591,5,0,67021,6.49,46115,159409,1
Vehicle,100729,1,0,94913,6.21,33927,161418,1
Health,218831,0,1,5284,4.13,77023,154481,0
Financial,420147,0,1,7199,1.65,29457,329637,1
Health,16684,1,1,87412,9.67,61727,416860,0
Health,238341,3,0,52111,2.45,79145,342957,1
Health,402336,3,1,1993,2.39,80706,216940,0
Life,496581,0,0,66380,9.41,81223,257949,0
Vehicle,351332,2,1,39316,5.84,41162,248803,0
Health,428793,1,0,12972,3.45,69835,132863,1
Vehicle,290383,5,1,9898,6.16,70938,212901,1
Life,187411,3,1,270,9.85,84553,481245,0
Life,187001,1,1,23588,8.06,61549,328262,0
Financial,344168,5,0,84777,4.16,72618,360224,0
Vehicle,313343,3,1,41740,1.59,63064,183836,0
Vehicle,20896,1,0,41859,1.66,77154,256401,0
Life,9405,5,0,79801,7.34,91720,91401,0
Life,278420,0,0,21701,9.78,51182,252165,0
Financial,309588,5,1,94634,4.12,54715,355486,1
Health,248552,1,0,10340,0.04,34578,482704,1
Health,147044,3,1,94083,6.11,71231,134199,0
Financial,343388,2,0,81795,2.95,64844,313629,0
Health,456695,1,1,91173,7.27,98165,251596,0
Financial,442956,1,1,62269,5.79,28143,158616,1
Financial,153354,3,0,76204,7.94,24058,286545,1
Health,150317,5,0,29475,3.22,27690,233618,1
Health,474648,2,0,43732,9.13,55221,365206,1
Life,344088,5,1,29714,1.34,75218,189643,0
Life,355472,5,1,36770,7.82,67721,199301,0
Vehicle,256280,2,0,21883,1.34,42953,355343,0
Health,150370,2,0,94138,8.61,98087,270381,1
Vehicle,68286,1,0,54315,6.47,42909,98980,1
Life,230314,0,1,41337,2.83,20129,427806,0
Financial,454442,2,1,14531,8.52,81939,473616,1
Health,291466,4,0,92152,0.18,94162,258466,1
Financial,174446,5,0,48136,0.99,48901,488635,1
Life,471505,1,0,29466,9.8,39408,494834,0
Life,154331,2,1,58405,1.64,83300,199778,0
Vehicle,265816,5,1,18391,8.79,69244,153841,1
Health,179994,2,1,17711,2.07,80067,146167,0
Vehicle,389236,1,1,86690,6.37,63896,88847,1
Vehicle,162966,4,1,91707,0.9,33200,266736,1
Health,223078,3,1,93534,1.24,27309,168890,0
Health,237963,3,1,54414,7.37,47256,441864,0
Health,142543,4,1,60506,2.95,91451,475689,0
Health,85420,2,1,57125,8.84,45788,234824,0
Life,232996,2,1,36991,5.41,73447,345232,0
Health,224819,2,0,77257,4.61,42932,406997,1
Vehicle,393876,0,1,29607,8.02,92212,385066,0
Health,82578,4,1,78610,4.27,56148,409888,0
Health,478510,4,1,17004,6.77,87692,407876,0
Life,5603,1,0,3007,6.76,83786,328062,0
Financial,381039,5,1,84687,0.07,98610,249848,0
Financial,350788,1,1,52231,0.99,39842,306862,1
Life,253951,3,1,98289,1.45,44672,356755,0
Financial,449553,0,1,17993,7.98,58139,309203,1
Financial,235663,4,1,26017,2.03,68955,66704,0
Financial,414272,1,0,93681,7.65,36279,459903,1
Life,351466,1,1,1560,1.91,68666,401608,0
Vehicle,32205,5,0,5028,8.89,66653,147196,1
Financial,48839,1,1,49539,5.14,46342,224819,0
Vehicle,315841,5,0,26505,6.73,55754,318957,1
Health,220798,3,0,50756,9.05,76868,460822,1
Health,238519,3,0,18149,1.31,38150,398007,1
Vehicle,48452,3,0,77442,5.59,73347,455069,1
Financial,476070,4,0,57734,1.88,93485,225333,0
Financial,138829,4,1,54336,3.99,65388,230778,0
Life,237032,0,1,61344,8.61,60848,266128,0
Life,398088,5,1,65915,6.95,62527,57082,0
Vehicle,155995,3,0,50320,9.22,64530,234502,1
Life,486636,3,0,91099,9.82,75339,292787,0
Life,160942,0,0,99403,8.89,26499,146991,0
Financial,90269,3,1,22704,5.23,45570,480538,1
Financial,161654,5,0,7541,6.57,68889,175254,0
Health,317359,0,0,64858,1.64,24610,185820,1
Vehicle,211997,2,0,91519,9.59,26486,432587,1
Health,296367,0,1,59548,9.33,65788,491351,0
Health,350304,5,0,82182,3.49,52790,167854,1
Health,441261,4,0,62087,7.3,41210,65265,1
Life,259470,1,1,91288,6.03,34997,335175,0
Life,457434,3,1,31209,5.42,41062,450625,0
Financial,113515,5,0,77266,9.82,79686,423548,1
Vehicle,317059,5,1,46935,8.96,56240,330610,1
Health,214432,3,1,86749,3.83,44760,499682,0
Health,83189,2,1,9973,2.79,63427,407398,0
Health,152057,0,1,48383,4.7,88776,259798,0
Health,246275,4,1,15201,5.08,45456,356998,0
Health,239792,4,0,89860,2.7,74641,397771,1
Life,296285,1,1,70021,3.45,39157,390617,0
Financial,246083,4,1,11081,4.4,43394,320619,1
Financial,24387,5,1,20906,1.21,58408,162075,0
Vehicle,280856,3,0,24860,0.53,33541,270045,0
Vehicle,120428,2,0,22555,1.0,29626,195590,0
Financial,181797,1,1,43692,6.98,31268,491097,1
Life,151552,1,1,11908,1.1,95849,404546,0
Life,451735,3,0,47614,4.48,26949,459617,0
Vehicle,178938,1,0,38001,6.21,84291,137557,0
Financial,275033,3,0,63730,0.49,98148,199685,0
Health,393375,5,0,59262,8.98,68721,272692,1
Life,499579,0,0,38122,5.15,25674,206096,0
Health,70399,5,1,54242,3.82,27529,262301,0
Life,238910,2,1,96585,7.81,39687,376436,0
Financial,471116,2,1,48810,5.05,31519,177013,1
Life,226514,3,1,55625,0.52,74196,80788,1
Vehicle,285951,4,0,98994,1.69,48027,466990,1
Life,406277,4,1,56526,9.24,81606,434753,0
Vehicle,430450,0,1,51812,4.54,51059,73378,1
Life,154263,5,0,45380,0.3,47858,401652,1
Financial,75498,5,0,81591,6.05,48337,491826,1
Financial,128180,4,0,58186,6.92,91217,487127,1
Health,324322,1,1,61611,4.65,85450,96786,0
Health,61290,0,1,28416,5.93,40736,51430,0
Health,105345,4,0,31398,5.99,84399,130772,1
Vehicle,311603,1,0,25176,2.12,33553,377150,0
Financial,162514,5,0,71044,8.36,92405,256565,0
Life,104689,4,0,17741,9.79,69484,279631,0
Life,384078,1,1,69093,5.17,75058,90445,0
Life,494422,1,1,93008,8.0,51433,289499,0
Vehicle,437131,5,0,2295,3.29,78092,183255,1
Life,329641,2,0,84018,3.13,45303,332127,0
Health,62205,3,0,47780,6.46,78835,382706,0
Vehicle,407361,3,0,27598,2.75,63113,280728,0
Life,425883,5,0,87120,1.9,77984,188034,0
Vehicle,452455,1,1,1070,3.13,41196,399663,0
Financial,418095,3,1,73905,6.07,47119,268095,1
Health,19923,4,0,46718,6.54,74433,242478,0
Vehicle,120885,1,0,18356,9.96,68920,333899,0
Health,391270,1,1,87288,2.01,46905,198853,0
Vehicle,387870,1,1,18103,8.58,90876,324797,0
Health,235489,3,1,42067,4.0,52048,454420,0
Vehicle,243184,3,0,61768,0.7,47629,362150,1
Health,23003,0,0,23773,3.58,33454,124751,0
Vehicle,110882,4,0,54669,1.53,64089,54003,1
Health,36540,5,1,43332,4.65,93863,161109,0
Life,212631,0,0,57586,1.37,73248,258328,0
Health,118565,4,1,88566,1.14,53004,364019,0
Financial,178283,5,0,26011,3.51,29430,303407,1
Health,26648,2,1,14894,7.49,32260,253967,0
Financial,406551,2,0,79634,3.5,33375,467312,1
Health,333627,2,1,90083,4.09,64230,486067,0
Financial,103131,2,1,81569,7.91,88560,318092,0
Health,331382,2,1,60931,9.0,78600,404501,0
Life,284313,3,1,87586,6.5,63042,50225,0
Vehicle,147412,1,1,43626,7.59,44684,290689,0
Life,246371,5,0,79954,3.41,36439,451404,0
Health,104118,0,1,67976,1.11,48955,355320,0
Life,118237,2,1,82405,0.41,60681,373033,1
Life,368461,1,1,30133,9.52,97646,251098,0
Life,205109,2,0,28365,1.56,60060,72342,0
Life,81022,1,0,53849,0.79,29234,69434,1
Vehicle,67265,4,0,54416,9.68,99576,147747,1
Health,24369,0,0,10229,4.72,46147,135242,0
Health,252015,1,1,74359,1.53,83061,112375,0
Financial,83950,2,1,53731,9.47,34912,351835,1
Vehicle,292120,3,1,73073,9.04,33410,104831,1
Financial,91768,5,1,11947,7.95,23371,319822,1
Life,207128,0,0,20048,2.53,50519,223219,0
Life,205474,0,1,4946,4.26,60097,188793,0
Health,39136,4,0,30170,4.62,62744,177761,0
Health,59098,5,1,95027,2.0,43153,280194,0
Life,100065,4,0,14639,6.98,57334,428577,0
Health,311803,0,1,84099,4.84,61979,377516,0
Health,312960,2,1,71504,6.38,67019,403952,0
Vehicle,149790,2,1,45704,1.43,46424,209531,0
Vehicle,244047,3,1,5431,7.14,74420,237138,0
Health,293992,4,1,2555,1.78,89828,461535,0
Vehicle,377277,2,0,47801,9.39,27170,430845,0
Health,30481,3,0,40819,1.57,87990,421027,0
Health,72249,3,1,38965,2.32,92757,315180,0
Financial,211525,1,1,82676,5.86,94058,481350,1
Life,456469,1,0,18911,6.32,94327,76498,0
Health,436929,1,0,31226,2.33,25375,118075,1
Health,295389,5,0,41353,7.73,43491,241640,1
Life,289484,4,0,82160,5.01,30949,286657,0
Vehicle,184642,0,1,7224,4.51,77019,452571,0
Vehicle,390440,1,0,58334,2.29,85075,145153,1
Vehicle,135754,2,1,26359,2.94,85328,58376,0
Health,436631,4,0,66898,6.29,45174,333140,1
Vehicle,484243,5,0,49351,5.01,71193,392506,1
Financial,6757,0,1,27732,8.29,90598,443235,0
Financial,443480,0,0,36516,6.3,51533,157059,0
Health,469178,4,1,19756,5.88,41819,68140,0
Financial,283398,1,1,33950,5.11,66931,239782,0
Vehicle,284886,5,1,3977,8.1,34678,176642,1
Financial,443742,2,1,38344,6.24,58527,101539,0
Life,52802,3,1,32593,3.62,41739,249104,0
Vehicle,95473,4,0,12939,2.18,53517,63318,1
Health,62423,3,1,35759,1.81,34209,325661,0
Vehicle,455769,0,0,17072,9.5,72693,345762,0
Health,65723,3,1,18494,0.0,72086,473328,0
Life,471112,0,0,51388,0.52,98319,304942,1
Financial,364519,1,0,81418,6.9,27655,66751,0
Vehicle,247039,3,0,30664,3.26,39454,206215,0
Health,459615,2,1,94746,3.92,62631,463502,0
Financial,240767,0,1,56986,6.13,69465,305169,0
Life,384345,2,0,5446,1.49,75480,249842,0
Life,31471,3,1,91443,9.86,60895,122993,0
Life,360684,0,0,44589,1.87,92267,265591,0
Financial,221030,3,1,38552,0.98,67843,199809,0
Vehicle,246694,0,1,86381,3.87,77622,282634,1
Financial,474525,2,0,69525,9.49,76906,483018,1
Health,21259,1,0,96265,8.1,20384,167831,0
Financial,295465,1,1,29778,4.52,86965,469623,1
Vehicle,283712,1,0,14684,8.02,42600,246026,0
Life,291758,3,0,92615,7.53,80241,456731,0
Life,20690,4,0,48040,0.52,70420,397719,1
Financial,451716,5,0,84469,1.22,94920,65256,0
Financial,392378,1,0,71786,6.62,36563,482403,1
Health,480577,4,1,74022,3.66,38239,292136,0
Life,52657,3,1,44621,4.75,94787,265353,0
Life,93249,4,1,73885,9.46,65968,260993,0
Health,54259,0,1,92838,2.9,42984,151587,0
Life,47775,1,0,54114,6.02,70105,163300,0
Health,53536,0,0,67888,9.98,28392,333754,0
Vehicle,477985,1,1,74170,5.52,89685,84031,1
Life,413080,4,1,598,6.96,54649,322024,0
Vehicle,50926,3,0,11124,9.37,99571,480421,0
Vehicle,281654,1,1,42400,1.51,24296,416950,0
Financial,79153,5,0,705,1.3,47050,118230,0
Financial,414003,4,1,17238,8.77,57740,51493,0
Vehicle,245749,5,0,68050,6.78,82333,380595,1
Vehicle,406277,1,0,29153,2.03,51599,480250,0
Life,247243,4,1,16814,4.63,98016,78754,0
Life,204474,3,1,73467,0.25,99442,86767,1
Vehicle,90595,3,0,66650,4.4,32644,419888,1
Health,446404,0,1,15156,2.73,76975,345233,0
Vehicle,372089,3,1,23585,9.94,80500,94752,0
Life,239632,0,0,9943,4.08,43571,429023,0
Health,378350,4,0,401,0.48,47543,229430,1
Vehicle,99758,1,0,58562,5.34,20350,457838,1
Financial,32769,1,0,44570,5.22,60050,254745,0
Health,21328,0,0,73010,6.28,53174,114439,0
Life,474381,5,0,12344,7.48,74576,305794,0
Vehicle,77132,5,1,91519,6.55,86866,412573,1
Life,111667,5,1,73310,3.16,58272,129006,0
Health,327474,4,0,95602,5.01,39400,429003,1
Financial,140238,1,1,59338,4.96,26846,225750,1
Financial,389591,0,1,29186,5.81,24249,299985,1
Financial,171664,3,0,11785,3.39,83077,488530,1
Vehicle,158103,3,1,22492,3.06,73005,118584,0
Life,66953,1,1,57535,4.36,22537,231070,0
Health,373350,5,1,52131,1.73,71117,278198,0
Life,204491,0,0,57706,1.0,34120,196558,0
Life,12216,4,0,14762,6.11,40726,470840,0
Health,144708,4,1,10425,4.68,43980,328319,0
Vehicle,467819,3,1,79935,9.08,65687,177216,1
Life,294938,0,1,14636,4.44,52412,417860,0
Life,406571,4,1,34654,8.96,89783,298836,0
Life,365998,4,1,70490,9.25,33429,467472,0
Vehicle,9951,0,0,73675,6.59,89791,297807,1
Vehicle,30058,4,1,79765,4.74,46542,384318,1
Vehicle,351878,0,1,38844,5.56,38024,378774,0
Vehicle,390233,3,0,57154,6.57,39777,432752,1
Life,131376,0,0,56189,8.55,94960,462031,0
Vehicle,311012,4,0,12997,4.12,59544,439433,1
Vehicle,162895,2,0,97275,0.41,52746,476693,1
Financial,486810,4,0,80330,8.89,68063,283493,0
Vehicle,344356,4,0,94254,0.82,51311,383520,1
Life,431604,0,1,33526,2.2,62767,208270,0
Health,34368,3,0,64191,8.41,66383,303677,0
Health,366888,2,1,79770,8.37,37595,233375,0
Financial,131194,4,0,81179,2.36,50978,115592,0
Vehicle,64154,1,1,14536,6.64,66557,335690,0
Health,251504,3,1,8686,0.57,66399,290345,0
Health,411927,3,0,18200,9.88,78354,360799,1
Financial,288531,4,1,3530,9.08,28477,236042,1
Financial,95471,0,0,27701,5.84,48495,106099,0
Vehicle,374761,2,1,48844,2.08,55188,367971,0
Financial,268884,2,0,58182,5.06,28825,351534,1
Financial,249235,3,0,97389,0.3,84647,74380,0
Health,180606,0,0,50915,3.28,22040,487481,1
Vehicle,453854,1,1,25798,1.14,68060,120226,0
Financial,352512,5,1,68211,0.13,70314,294114,0
Vehicle,289082,2,1,43770,1.69,55577,237137,0
Vehicle,325028,0,1,31091,2.34,76462,183955,0
Financial,232826,0,0,48760,5.03,83771,306188,0
Health,357838,0,1,18047,0.65,99561,416205,0
Financial,295651,5,1,54546,2.17,61765,450847,1
Life,466907,4,1,1184,8.11,99223,395218,0
Health,332278,2,0,41336,6.38,88644,400552,1
Health,40827,0,0,1055,3.94,62932,297605,0
Health,247814,1,0,40422,2.63,78419,333136,1
Financial,118369,4,0,9297,5.16,81309,305534,0
Life,263932,3,1,4292,8.63,53052,143415,0
Vehicle,279256,5,0,43110,4.68,92930,328672,1
Vehicle,32231,5,0,39517,5.27,67638,221172,1
Financial,162348,2,1,14424,6.76,63689,340474,1
Vehicle,194363,4,1,96153,3.0,54878,70451,1
Life,181994,5,1,2205,2.0,75990,199542,0
Life,406953,4,1,90085,2.97,60575,264352,0
Life,431665,5,0,74320,4.57,58075,357040,0
Financial,85635,1,0,33152,8.65,96730,285469,0
Vehicle,128398,5,1,68788,2.19,76155,305413,1
Life,229960,2,1,30744,7.15,78131,94185,0
Vehicle,380233,5,0,81948,7.4,37852,497841,1
Financial,217902,2,0,35157,7.28,95065,456649,0
Vehicle,80915,2,0,84589,6.67,69792,429511,1
Vehicle,243761,0,1,48607,8.99,34121,415179,0
Financial,34123,3,1,28249,0.06,47604,231239,0
Health,221196,4,1,16695,3.37,35894,121137,0
Financial,271545,1,1,42217,3.33,23531,251853,1
Health,221118,5,0,9965,0.96,42187,318987,1
Financial,87656,0,1,33644,7.53,29432,169580,1
Life,225419,5,1,11977,9.8,61804,180171,0
Vehicle,247573,5,0,23834,4.84,47474,121643,1
Financial,242152,2,1,80825,4.15,25629,235309,1
Financial,344374,2,1,25251,4.59,89947,319723,0
Health,311360,5,0,99557,6.6,25969,201851,1
Life,344432,0,1,75579,9.94,73709,219273,0
Vehicle,217325,0,1,85601,6.2,74736,438408,1
Health,115173,4,1,85756,2.97,94969,404450,0
Health,26959,3,1,19389,7.11,39470,280938,0
Health,61012,3,0,37117,5.79,21310,446334,0
Life,172655,5,1,28090,3.76,74327,317563,0
Health,380326,3,1,38446,7.43,52537,51569,0
Vehicle,122898,0,0,58160,3.38,93084,227351,1
Life,375134,1,0,47810,6.77,33627,302329,0
Health,14029,2,1,57374,5.01,34514,447707,0
Life,396571,4,0,36509,6.77,87630,246828,0
Vehicle,137132,3,1,53206,1.75,39647,426421,1
Vehicle,142382,3,1,90090,4.36,82435,256873,1
Health,147254,1,0,62321,6.06,29894,117394,1
Health,171530,1,1,89462,0.37,46832,392565,0
Financial,323603,4,0,96558,9.97,27993,325161,1
Financial,429067,2,0,31764,1.61,84242,499032,1
Financial,39442,5,1,26398,6.06,94559,277129,0
Vehicle,201077,4,0,31219,7.24,32957,254644,1
Financial,307126,0,0,24916,8.44,28951,381291,1
Life,93349,0,0,20040,8.65,54004,284350,0
Life,289642,4,0,89524,5.2,36093,363198,0
Health,20717,5,1,47197,3.62,38123,246834,0
Life,28449,4,1,57106,2.58,70469,124331,0
Financial,133932,1,0,63838,7.57,66032,347813,1
Health,17993,1,1,81478,9.02,69560,151483,0
Life,289647,0,0,20379,1.58,71361,274540,0
Vehicle,26657,0,1,34605,5.37,86988,424297,0
Financial,273028,4,0,95695,3.85,64351,299295,0
Financial,34108,4,1,38107,6.82,99424,339311,0
Health,310193,2,0,64910,1.06,23089,291599,1
Vehicle,487654,2,1,7955,6.14,70324,339166,0
Health,230433,1,0,44264,4.42,73279,299527,1
Vehicle,266171,4,0,9823,9.28,65106,127202,1
Health,286158,5,0,23289,3.07,99108,355814,1
Health,162423,5,0,13792,9.46,59461,423064,1
Vehicle,102985,5,1,12944,0.71,86209,151246,1
Financial,367108,2,0,30952,4.08,77093,343015,0
Financial,62273,2,1,60175,4.62,59062,265718,0
